15237.528232319093, 204
17307.149825944947, 191
14669.726938118905, 175
15040.924938602244, 218
14853.77151532262, 126
14978.243306044813, 166
14669.726938118905, 160
14531.430385566428, 219
15278.347216959924, 158
15635.21243524776, 187
17579.35689185945, 220
14829.834950076785, 167
14807.175149291625, 150
16560.24613137767, 211
15303.620360612977, 157
15117.148510421457, 164
15376.959298150794, 153
15007.496195281932, 166
15455.15906346515, 188
15863.678155631455, 240
14791.511624061184, 142
14724.548616890239, 179
14796.038811782122, 153
15051.58011624957, 163
16448.481085950563, 163
15189.958299344018, 169
15495.911658595729, 137
15098.914774809693, 240
14819.975377027955, 153
15237.266324180031, 327
15172.410424437841, 177
15996.065627107413, 224
15438.576502339494, 160
